key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Skeleton_Incandescent_Fighter.name	Skeleton Incandescent Fighter	Combattente scheletro incandescente	Glühender Skelett-Kämpfer	Luchador esqueleto incandescente	Combattant squelette incandescent	Lutador esqueleto incandescente	Раскаленный скелет-боец	Akkor iskelet savaşçı
items.MSE.Egg_Spawner_Skeleton_Incandescent_Footman.name	Skeleton Incandescent Footman	Fante scheletro incandescente	Glühender Skelett-Fußsoldat	Infante esqueleto incandescente	Fantassin squelette incandescent	Soldado raso esqueleto incandescente	Раскаленный скелет-пехотинец	Akkor iskelet piyade
items.MSE.Egg_Spawner_Skeleton_Incandescent_Head.name	Skeleton Incandescent Head	Testa scheletro incandescente	Glühender Skelettkopf	Cabeza de esqueleto incandescente	Tête de squelette incandescente	Cabeça de esqueleto incandescente	Раскаленная голова скелета	Akkor iskelet başı
items.MSE.Egg_Spawner_Skeleton_Incandescent_Mage.name	Skeleton Incandescent Mage	Mago scheletro incandescente	Glühender Skelett-Magier	Mago esqueleto incandescente	Mage squelette incandescent	Mago esqueleto incandescente	Раскаленный скелет-маг	Akkor iskelet büyücü
items.MSE.Egg_Spawner_Skeleton_Knight.name	Skeleton Knight	Cavaliere scheletro	Skelett-Ritter	Caballero esqueleto	Chevalier squelette	Cavaleiro esqueleto	Скелет-рыцарь	İskelet şövalye
items.MSE.Egg_Spawner_Skeleton_Mage.name	Skeleton Mage	Mago scheletro	Skelett-Magier	Mago esqueleto	Mage squelette	Mago esqueleto	Скелет-маг	İskelet büyücü
items.MSE.Egg_Spawner_Skeleton_Pirate_Captain.name	Skeleton Pirate Captain	Capitano pirata scheletro	Skelett-Piratenkapitän	Capitán pirata esqueleto	Capitaine pirate squelette	Capitão pirata esqueleto	Скелет-пиратский капитан	İskelet korsan kaptanı
items.MSE.Egg_Spawner_Skeleton_Pirate_Gunner.name	Skeleton Pirate Gunner	Cannoniere pirata scheletro	Skelett-Piratenschütze	Artillero pirata esqueleto	Tireur pirate squelette	Atirador pirata esqueleto	Скелет-пират-стрелок	İskelet korsan nişancı
items.MSE.Egg_Spawner_Skeleton_Pirate_Striker.name	Skeleton Pirate Striker	Assaltatore pirata scheletro	Skelett-Piratenstürmer	Atacante pirata esqueleto	Assaillant pirate squelette	Atacante pirata esqueleto	Скелет-пират-налетчик	İskelet korsan saldırgan
items.MSE.Egg_Spawner_Skeleton_Ranger.name	Skeleton Ranger	Ranger scheletro	Skelett-Waldläufer	Explorador esqueleto	Rôdeur squelette	Patrulheiro esqueleto	Скелет-следопыт	İskelet korucu
items.MSE.Egg_Spawner_Skeleton_Sand_Archer.name	Skeleton Sand Archer	Arciere scheletro della sabbia	Sand-Skelett-Bogenschütze	Arquero esqueleto de arena	Archer squelette de sable	Arqueiro esqueleto de areia	Песчаный скелет-лучник	Kum iskelet okçu
items.MSE.Egg_Spawner_Skeleton_Sand_Archmage.name	Skeleton Sand Archmage	Arcimago scheletro della sabbia	Sand-Skelett-Erzmagier	Archimago esqueleto de arena	Archimage squelette de sable	Arquimago esqueleto de areia	Песчаный скелет-архимаг	Kum iskelet başbüyücü
items.MSE.Egg_Spawner_Skeleton_Sand_Assassin.name	Skeleton Sand Assassin	Assassino scheletro della sabbia	Sand-Skelett-Assassine	Asesino esqueleto de arena	Assassin squelette de sable	Assassino esqueleto de areia	Песчаный скелет-ассасин	Kum iskelet suikastçı
items.MSE.Egg_Spawner_Skeleton_Sand_Guard.name	Skeleton Sand Guard	Guardia scheletro della sabbia	Sand-Skelett-Wache	Guardia esqueleto de arena	Garde squelette de sable	Guarda esqueleto de areia	Песчаный скелет-страж	Kum iskelet muhafız
items.MSE.Egg_Spawner_Skeleton_Sand_Mage.name	Skeleton Sand Mage	Mago scheletro della sabbia	Sand-Skelett-Magier	Mago esqueleto de arena	Mage squelette de sable	Mago esqueleto de areia	Песчаный скелет-маг	Kum iskelet büyücü
items.MSE.Egg_Spawner_Skeleton_Sand_Ranger.name	Skeleton Sand Ranger	Ranger scheletro della sabbia	Sand-Skelett-Waldläufer	Explorador esqueleto de arena	Rôdeur squelette de sable	Patrulheiro esqueleto de areia	Песчаный скелет-следопыт	Kum iskelet korucu
items.MSE.Egg_Spawner_Skeleton_Sand_Scout.name	Skeleton Sand Scout	Esploratore scheletro della sabbia	Sand-Skelett-Späher	Explorador esqueleto de arena	Éclaireur squelette de sable	Batedor esqueleto de areia	Песчаный скелет-разведчик	Kum iskelet gözcü
items.MSE.Egg_Spawner_Skeleton_Sand_Soldier.name	Skeleton Sand Soldier	Soldato scheletro della sabbia	Sand-Skelett-Soldat	Soldado esqueleto de arena	Soldat squelette de sable	Soldado esqueleto de areia	Песчаный скелет-солдат	Kum iskelet asker
items.MSE.Egg_Spawner_Skeleton_Scout.name	Skeleton Scout	Esploratore scheletro	Skelett-Späher	Explorador esqueleto	Éclaireur squelette	Batedor esqueleto	Скелет-разведчик	İskelet gözcü
items.MSE.Egg_Spawner_Skeleton_Soldier.name	Skeleton Soldier	Soldato scheletro	Skelett-Soldat	Soldado esqueleto	Soldat squelette	Soldado esqueleto	Скелет-солдат	İskelet asker
