key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Kweebec_Rootling.name	Kweebec Rootling	Radicello Kweebec	Kweebec-Wurzling	Raicilla Kweebec	Racineau Kweebec	Raizinha Kweebec	Корешок Квибек	Kweebec Kökçüğü
items.MSE.Egg_Spawner_Kweebec_Sapling.name	Kweebec Sapling	Germoglio Kweebec	Kweebec-Schössling	Retoño Kweebec	Jeune pousse Kweebec	Muda Kweebec	Саженец Квибек	Kweebec Fidanı
items.MSE.Egg_Spawner_Kweebec_Sapling_Orange.name	Kweebec Sapling Orange	Germoglio Kweebec arancione	Oranger Kweebec-Schössling	Retoño Kweebec naranja	Jeune pousse Kweebec orange	Muda Kweebec laranja	Оранжевый саженец Квибек	Turuncu Kweebec fidanı
items.MSE.Egg_Spawner_Kweebec_Sapling_Pink.name	Kweebec Sapling Pink	Germoglio Kweebec rosa	Rosa Kweebec-Schössling	Retoño Kweebec rosa	Jeune pousse Kweebec rose	Muda Kweebec rosa	Розовый саженец Квибек	Pembe Kweebec fidanı
items.MSE.Egg_Spawner_Kweebec_Seedling.name	Kweebec Seedling	Semenzale Kweebec	Kweebec-Keimling	Plántula Kweebec	Plantule Kweebec	Broto Kweebec	Сеянец Квибек	Kweebec Filizi
items.MSE.Egg_Spawner_Kweebec_Sproutling.name	Kweebec Sproutling	Virgulto Kweebec	Kweebec-Spross	Brote Kweebec	Pousse Kweebec	Rebento Kweebec	Росток Квибек	Kweebec Sürgünü
items.MSE.Egg_Spawner_Lamb.name	Lamb	Agnello	Lamm	Cordero	Agneau	Cordeiro	Ягненок	Kuzu
items.MSE.Egg_Spawner_Larva_Silk.name	Larva Silk	Larva di seta	Seidenlarve	Larva de seda	Larve de soie	Larva de seda	Шелковая личинка	İpek larvası
items.MSE.Egg_Spawner_Larva_Void.name	Larva Void	Larva del vuoto	Leerenlarve	Larva del vacío	Larve du vide	Larva do vazio	Личинка Пустоты	Boşluk larvası
items.MSE.Egg_Spawner_Leopard_Snow.name	Leopard Snow	Leopardo delle nevi	Schneeleopard	Leopardo de las nieves	Léopard des neiges	Leopardo-das-neves	Снежный барс	Kar leoparı
items.MSE.Egg_Spawner_Lizard_Sand.name	Lizard Sand	Lucertola della sabbia	Sandechse	Lagarto de arena	Lézard des sables	Lagarto da areia	Песчаная ящерица	Kum kertenkelesi
items.MSE.Egg_Spawner_Lobster.name	Lobster	Aragosta	Hummer	Langosta	Homard	Lagosta	Омар	Istakoz
items.MSE.Egg_Spawner_Meerkat.name	Meerkat	Suricato	Erdmännchen	Suricata	Suricate	Suricato	Сурикат	Mirket
items.MSE.Egg_Spawner_Minnow.name	Minnow	Pesciolino	Elritze	Pececillo	Vairon	Peixinho	Пескарь	Yavru balık
items.MSE.Egg_Spawner_Molerat.name	Molerat	Ratto talpa	Maulwurfsratte	Rata topo	Rat-taupe	Rato-toupeira	Слепыш	Köstebek faresi
items.MSE.Egg_Spawner_Moose_Bull.name	Moose Bull	Alce maschio	Elchbulle	Alce macho	Élan mâle	Alce macho	Самец лося	Erkek geyik
items.MSE.Egg_Spawner_Moose_Cow.name	Moose Cow	Alce femmina	Elchkuh	Alce hembra	Élan femelle	Alce fêmea	Самка лося	Dişi geyik
items.MSE.Egg_Spawner_Mosshorn.name	Mosshorn	Corno di muschio	Mooshorn	Cuerno de musgo	Corne-de-mousse	Chifre de musgo	Мшистый рогач	Yosun boynuz
items.MSE.Egg_Spawner_Mosshorn_Plain.name	Mosshorn Plain	Corno di muschio comune	Gewöhnliches Mooshorn	Cuerno de musgo común	Corne-de-mousse des plaines	Chifre de musgo comum	Равнинный мшистый рогач	Ova yosun boynuzu
items.MSE.Egg_Spawner_Mouflon.name	Mouflon	Muflone	Mufflon	Muflón	Mouflon	Muflão	Муфлон	Yaban koyunu
items.MSE.Egg_Spawner_Mouflon_Lamb.name	Mouflon Lamb	Agnello di muflone	Mufflonlamm	Cordero de muflón	Agneau de mouflon	Cordeiro de muflão	Ягненок муфлона	Yaban koyunu kuzusu
items.MSE.Egg_Spawner_Mouse.name	Mouse	Topo	Maus	Ratón	Souris	Camundongo	Мышь	Fare
items.MSE.Egg_Spawner_Outlander_Berserker.name	Outlander Berserker	Berserker forestiero	Außenseiter-Berserker	Berserker forastero	Berserker étranger	Berserker forasteiro	Берсерк-чужеземец	Yabancı berserker
items.MSE.Egg_Spawner_Outlander_Brute.name	Outlander Brute	Bruto forestiero	Außenseiter-Grobian	Bruto forastero	Brute étrangère	Bruto forasteiro	Громила-чужеземец	Yabancı vahşi
items.MSE.Egg_Spawner_Outlander_Cultist.name	Outlander Cultist	Cultista forestiero	Außenseiter-Kultist	Cultista forastero	Cultiste étranger	Cultista forasteiro	Культист-чужеземец	Yabancı tarikatçı
items.MSE.Egg_Spawner_Outlander_Hunter.name	Outlander Hunter	Cacciatore forestiero	Außenseiter-Jäger	Cazador forastero	Chasseur étranger	Caçador forasteiro	Охотник-чужеземец	Yabancı avcı
items.MSE.Egg_Spawner_Outlander_Marauder.name	Outlander Marauder	Predone forestiero	Außenseiter-Marodeur	Saqueador forastero	Maraudeur étranger	Saqueador forasteiro	Мародер-чужеземец	Yabancı yağmacı
items.MSE.Egg_Spawner_Outlander_Peon.name	Outlander Peon	Servo forestiero	Außenseiter-Knecht	Peón forastero	Péon étranger	Peão forasteiro	Работник-чужеземец	Yabancı ayakçı
items.MSE.Egg_Spawner_Outlander_Priest.name	Outlander Priest	Sacerdote forestiero	Außenseiter-Priester	Sacerdote forastero	Prêtre étranger	Sacerdote forasteiro	Жрец-чужеземец	Yabancı rahip
items.MSE.Egg_Spawner_Outlander_Sorcerer.name	Outlander Sorcerer	Stregone forestiero	Außenseiter-Zauberer	Hechicero forastero	Sorcier étranger	Feiticeiro forasteiro	Колдун-чужеземец	Yabancı büyücü
items.MSE.Egg_Spawner_Outlander_Stalker.name	Outlander Stalker	Predatore forestiero	Außenseiter-Pirscher	Acechador forastero	Traqueur étranger	Perseguidor forasteiro	Сталкер-чужеземец	Yabancı izci
items.MSE.Egg_Spawner_Owl_Brown.name	Owl Brown	Gufo bruno	Braune Eule	Búho marrón	Chouette brune	Coruja marrom	Бурая сова	Kahverengi baykuş
items.MSE.Egg_Spawner_Owl_Snow.name	Owl Snow	Gufo delle nevi	Schnee-Eule	Búho nival	Harfang des neiges	Coruja-das-neves	Снежная сова	Kar baykuşu
items.MSE.Egg_Spawner_Parrot.name	Parrot	Pappagallo	Papagei	Loro	Perroquet	Papagaio	Попугай	Papağan
items.MSE.Egg_Spawner_Penguin.name	Penguin	Pinguino	Pinguin	Pingüino	Pingouin	Pinguim	Пингвин	Penguen
items.MSE.Egg_Spawner_Pig.name	Pig	Maiale	Schwein	Cerdo	Cochon	Porco	Свинья	Domuz
items.MSE.Egg_Spawner_Pig_Undead.name	Pig Undead	Maiale non morto	Untotes Schwein	Cerdo no muerto	Cochon mort-vivant	Porco morto-vivo	Свинья-нежить	Ölümsüz domuz
items.MSE.Egg_Spawner_Pig_Wild.name	Pig Wild	Maiale selvatico	Wildschwein	Cerdo salvaje	Cochon sauvage	Porco selvagem	Дикая свинья	Yaban domuzu
items.MSE.Egg_Spawner_Pigeon.name	Pigeon	Piccione	Taube	Paloma	Pigeon	Pombo	Голубь	Güvercin
items.MSE.Egg_Spawner_Piglet.name	Piglet	Maialino	Ferkel	Lechón	Porcelet	Leitão	Поросенок	Domuz yavrusu
items.MSE.Egg_Spawner_Piglet_Wild.name	Piglet Wild	Cinghialetto	Wildferkel	Lechón salvaje	Porcelet sauvage	Leitão selvagem	Дикий поросенок	Yaban domuzu yavrusu
items.MSE.Egg_Spawner_Pike.name	Pike	Luccio	Hecht	Lucio	Brochet	Lúcio	Щука	Turna balığı
items.MSE.Egg_Spawner_Piranha.name	Piranha	Piranha	Piranha	Piraña	Piranha	Piranha	Пиранья	Pirana
items.MSE.Egg_Spawner_Piranha_Black.name	Piranha Black	Piranha nero	Schwarzer Piranha	Piraña negra	Piranha noir	Piranha preta	Черная пиранья	Siyah pirana
items.MSE.Egg_Spawner_Pterodactyl.name	Pterodactyl	Pterodattilo	Pterodaktylus	Pterodáctilo	Ptérodactyle	Pterodáctilo	Птеродактиль	Pterodaktil
items.MSE.Egg_Spawner_Pufferfish.name	Pufferfish	Pesce palla	Kugelfisch	Pez globo	Poisson-globe	Baiacu	Иглобрюх	Balon balığı
items.MSE.Egg_Spawner_Rabbit.name	Rabbit	Coniglio	Kaninchen	Conejo	Lapin	Coelho	Кролик	Tavşan
items.MSE.Egg_Spawner_Ram.name	Ram	Ariete	Widder	Carnero	Bélier	Carneiro	Баран	Koç
items.MSE.Egg_Spawner_Ram_Lamb.name	Ram Lamb	Agnello di ariete	Widderlamm	Cordero de carnero	Agneau de bélier	Cordeiro de carneiro	Ягненок барана	Koç kuzusu
items.MSE.Egg_Spawner_Raptor_Cave.name	Raptor Cave	Raptor delle caverne	Höhlenraptor	Raptor de cueva	Raptor des cavernes	Raptor da caverna	Пещерный раптор	Mağara raptoru
items.MSE.Egg_Spawner_Rat.name	Rat	Ratto	Ratte	Rata	Rat	Rato	Крыса	Sıçan
items.MSE.Egg_Spawner_Raven.name	Raven	Corvo imperiale	Rabe	Cuervo	Corbeau	Corvo	Ворон	Kuzgun
items.MSE.Egg_Spawner_Rex_Cave.name	Rex Cave	Rex delle caverne	Höhlen-Rex	Rex de cueva	Rex des cavernes	Rex da caverna	Пещерный рекс	Mağara reksi
