key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Cow.name	Cow	Mucca	Kuh	Vaca	Vache	Vaca	Корова	İnek
items.MSE.Egg_Spawner_Cow_Undead.name	Cow Undead	Mucca non morta	Untote Kuh	Vaca no muerta	Vache morte-vivante	Vaca morta-viva	Корова-нежить	Ölümsüz inek
items.MSE.Egg_Spawner_Crab.name	Crab	Granchio	Krabbe	Cangrejo	Crabe	Caranguejo	Краб	Yengeç
items.MSE.Egg_Spawner_Crawler_Void.name	Crawler Void	Strisciante del vuoto	Leerenkriecher	Reptador del vacío	Rampant du vide	Rastejador do vazio	Ползун Пустоты	Boşluk sürüngeni
items.MSE.Egg_Spawner_Crocodile.name	Crocodile	Coccodrillo	Krokodil	Cocodrilo	Crocodile	Crocodilo	Крокодил	Timsah
items.MSE.Egg_Spawner_Crow.name	Crow	Cornacchia	Krähe	Corneja	Corneille	Gralha	Ворона	Karga
items.MSE.Egg_Spawner_Deer_Doe.name	Deer Doe	Cerva	Hirschkuh	Cierva	Biche	Cerva	Самка оленя	Dişi geyik
items.MSE.Egg_Spawner_Deer_Stag.name	Deer Stag	Cervo	Hirsch	Ciervo	Cerf	Cervo	Самец оленя	Erkek geyik
items.MSE.Egg_Spawner_Dragon_Fire.name	Dragon Fire	Drago di fuoco	Feuerdrache	Dragón de fuego	Dragon de feu	Dragão de fogo	Огненный дракон	Ateş ejderhası
items.MSE.Egg_Spawner_Dragon_Frost.name	Dragon Frost	Drago del gelo	Frostdrache	Dragón de escarcha	Dragon de givre	Dragão de gelo	Ледяной дракон	Buz ejderhası
items.MSE.Egg_Spawner_Duck.name	Duck	Anatra	Ente	Pato	Canard	Pato	Утка	Ördek
items.MSE.Egg_Spawner_Eel_Moray.name	Eel Moray	Murena	Muräne	Morena	Murène	Moreia	Мурена	Müren balığı
items.MSE.Egg_Spawner_Emberwulf.name	Emberwulf	Lupo di braci	Glutwolf	Lobo de brasas	Loup de braise	Lobo de brasas	Угольный волк	Kor kurdu
items.MSE.Egg_Spawner_Eye_Void.name	Eye Void	Occhio del vuoto	Leerenauge	Ojo del vacío	Oeil du vide	Olho do vazio	Око Пустоты	Boşluk gözü
items.MSE.Egg_Spawner_Fen_Stalker.name	Fen Stalker	Predatore della palude	Sumpfpirscher	Acechador del pantano	Traqueur du marais	Perseguidor do brejo	Болотный сталкер	Bataklık izcisi
items.MSE.Egg_Spawner_Feran_Burrower.name	Feran Burrower	Scavatore Feran	Feran-Wühler	Excavador Feran	Fouisseur Feran	Escavador Feran	Феран-землерой	Feran Kazıcısı
items.MSE.Egg_Spawner_Feran_Civilian.name	Feran Civilian	Civile Feran	Feran-Zivilist	Civil Feran	Civil Feran	Civil Feran	Феран-мирный житель	Feran Sivili
items.MSE.Egg_Spawner_Feran_Cub.name	Feran Cub	Cucciolo Feran	Feran-Junges	Cachorro Feran	Petit Feran	Filhote Feran	Детеныш Ферана	Feran Yavrusu
items.MSE.Egg_Spawner_Feran_Longtooth.name	Feran Longtooth	Feran Zanna lunga	Feran-Langzahn	Feran Diente Largo	Feran Longue-dent	Feran Dente Longo	Феран Длиннозуб	Feran Uzun Diş
items.MSE.Egg_Spawner_Feran_Sharptooth.name	Feran Sharptooth	Feran Zanna affilata	Feran-Scharfzahn	Feran Diente Afilado	Feran Dent-Tranchante	Feran Dente Afiado	Феран Острозуб	Feran Keskin Diş
items.MSE.Egg_Spawner_Feran_Windwalker.name	Feran Windwalker	Feran Camminavento	Feran-Windläufer	Feran Caminavientos	Feran Marchevent	Feran Andarilho do Vento	Феран Ветроход	Feran Rüzgar Gezgini
items.MSE.Egg_Spawner_Finch_Green.name	Finch Green	Fringuello verde	Grüner Fink	Pinzón verde	Pinson vert	Tentilhão verde	Зеленый зяблик	Yeşil ispinoz
items.MSE.Egg_Spawner_Flamingo.name	Flamingo	Fenicottero	Flamingo	Flamenco	Flamant rose	Flamingo	Фламинго	Flamingo
items.MSE.Egg_Spawner_Fox.name	Fox	Volpe	Fuchs	Zorro	Renard	Raposa	Лиса	Tilki
items.MSE.Egg_Spawner_Frog_Blue.name	Frog Blue	Rana blu	Blauer Frosch	Rana azul	Grenouille bleue	Sapo azul	Синяя лягушка	Mavi kurbağa
items.MSE.Egg_Spawner_Frog_Green.name	Frog Green	Rana verde	Grüner Frosch	Rana verde	Grenouille verte	Sapo verde	Зеленая лягушка	Yeşil kurbağa
items.MSE.Egg_Spawner_Frog_Orange.name	Frog Orange	Rana arancione	Oranger Frosch	Rana naranja	Grenouille orange	Sapo laranja	Оранжевая лягушка	Turuncu kurbağa
items.MSE.Egg_Spawner_Frostgill.name	Frostgill	Branchia del gelo	Frostkieme	Branquia de escarcha	Branchie de givre	Guelra de gelo	Морозножаберник	Buz solungacı
items.MSE.Egg_Spawner_Gecko.name	Gecko	Geco	Gecko	Geco	Gecko	Lagartixa	Геккон	Geko
items.MSE.Egg_Spawner_Ghoul.name	Ghoul	Ghoul	Ghul	Ghoul	Goule	Carniçal	Гуль	Gulyabani
items.MSE.Egg_Spawner_Goat.name	Goat	Capra	Ziege	Cabra	Chèvre	Cabra	Коза	Keçi
items.MSE.Egg_Spawner_Goat_Kid.name	Goat Kid	Capretto	Zicklein	Cabrito	Chevreau	Cabrito	Козленок	Oğlak
items.MSE.Egg_Spawner_Goblin_Duke.name	Goblin Duke	Duca goblin	Goblin-Herzog	Duque goblin	Duc gobelin	Duque goblin	Гоблин-герцог	Goblin dükü
items.MSE.Egg_Spawner_Goblin_Hermit.name	Goblin Hermit	Eremita goblin	Goblin-Eremit	Ermitaño goblin	Ermite gobelin	Eremita goblin	Гоблин-отшельник	Goblin keşiş
items.MSE.Egg_Spawner_Goblin_Lobber.name	Goblin Lobber	Lanciatore goblin	Goblin-Werfer	Lanzador goblin	Lanceur gobelin	Arremessador goblin	Гоблин-метатель	Goblin fırlatıcı
items.MSE.Egg_Spawner_Goblin_Miner.name	Goblin Miner	Minatore goblin	Goblin-Bergmann	Minero goblin	Mineur gobelin	Mineiro goblin	Гоблин-шахтер	Goblin madenci
items.MSE.Egg_Spawner_Goblin_Ogre.name	Goblin Ogre	Ogre goblin	Goblin-Oger	Ogro goblin	Ogre gobelin	Ogro goblin	Гоблин-огр	Goblin ogre
items.MSE.Egg_Spawner_Goblin_Scavenger.name	Goblin Scavenger	Goblin razziatore	Goblin-Plünderer	Goblin carroñero	Gobelin charognard	Goblin saqueador	Гоблин-мародёр	Goblin yağmacı
items.MSE.Egg_Spawner_Goblin_Scrapper.name	Goblin Scrapper	Rottamaio goblin	Goblin-Schrotter	Chatarrero goblin	Ferrailleur gobelin	Sucateiro goblin	Гоблин-драчун	Goblin hurdacı
items.MSE.Egg_Spawner_Goblin_Thief.name	Goblin Thief	Ladro goblin	Goblin-Dieb	Ladrón goblin	Voleur gobelin	Ladrão goblin	Гоблин-вор	Goblin hırsız
items.MSE.Egg_Spawner_Golem_Crystal_Earth.name	Golem Crystal Earth	Golem di cristallo della terra	Erdkristall-Golem	Gólem de cristal de tierra	Golem de cristal de terre	Golem de cristal da terra	Кристальный голем земли	Toprak kristal golemi
items.MSE.Egg_Spawner_Golem_Crystal_Flame.name	Golem Crystal Flame	Golem di cristallo della fiamma	Flammenkristall-Golem	Gólem de cristal de llama	Golem de cristal de flamme	Golem de cristal de chama	Кристальный голем пламени	Alev kristal golemi
items.MSE.Egg_Spawner_Golem_Crystal_Frost.name	Golem Crystal Frost	Golem di cristallo del gelo	Frostkristall-Golem	Gólem de cristal de escarcha	Golem de cristal de givre	Golem de cristal de gelo	Кристальный голем льда	Buz kristal golemi
items.MSE.Egg_Spawner_Golem_Crystal_Sand.name	Golem Crystal Sand	Golem di cristallo della sabbia	Sandkristall-Golem	Gólem de cristal de arena	Golem de cristal de sable	Golem de cristal de areia	Кристальный голем песка	Kum kristal golemi
items.MSE.Egg_Spawner_Golem_Crystal_Thunder.name	Golem Crystal Thunder	Golem di cristallo del tuono	Donnerkristall-Golem	Gólem de cristal de trueno	Golem de cristal de tonnerre	Golem de cristal do trovão	Кристальный голем грома	Gök gürültüsü kristal golemi
items.MSE.Egg_Spawner_Golem_Firesteel.name	Golem Firesteel	Golem d'acciaio ardente	Feuerstahl-Golem	Gólem de acero ígneo	Golem d'acier ardent	Golem de aço ardente	Голем огненной стали	Ateş çeliği golemi
