resource_key	entity_id	color	category
Goblin_Scavenger	Goblin_Scavenger	Fuchsia	HumanoidsConstructs
Goblin_Scrapper	Goblin_Scrapper	Fuchsia	HumanoidsConstructs
Goblin_Thief	Goblin_Thief	Fuchsia	HumanoidsConstructs
Golem_Crystal_Earth	Golem_Crystal_Earth	Fuchsia	HumanoidsConstructs
Golem_Crystal_Flame	Golem_Crystal_Flame	Fuchsia	HumanoidsConstructs
Golem_Crystal_Frost	Golem_Crystal_Frost	Fuchsia	HumanoidsConstructs
Golem_Crystal_Sand	Golem_Crystal_Sand	Fuchsia	HumanoidsConstructs
Golem_Crystal_Thunder	Golem_Crystal_Thunder	Fuchsia	HumanoidsConstructs
Golem_Firesteel	Golem_Firesteel	Fuchsia	HumanoidsConstructs
Hatworm	Hatworm	Red	BeastsCreatures
Hawk	Hawk	Yellow	Birds
Hedera	Hedera	Fuchsia	Tools
Horse	Horse	Brown	Mammals
Horse_Foal	Horse_Foal	Brown	Mammals
Horse_Skeleton	Horse_Skeleton	Purple	UndeadSpirits
Horse_Skeleton_Armored	Horse_Skeleton_Armored	Purple	UndeadSpirits
Hound_Bleached	Hound_Bleached	Purple	UndeadSpirits
Hyena	Hyena	Brown	Mammals
Jellyfish_Blue	Jellyfish_Blue	Blue	Aquatic
Jellyfish_Cyan	Jellyfish_Cyan	Blue	Aquatic
Jellyfish_Green	Jellyfish_Green	Blue	Aquatic
Jellyfish_Man_Of_War	Jellyfish_Man_Of_War	Blue	Aquatic
Jellyfish_Red	Jellyfish_Red	Blue	Aquatic
Jellyfish_Yellow	Jellyfish_Yellow	Blue	Aquatic
Klops_Gentleman	Klops_Gentleman	Fuchsia	HumanoidsConstructs
Klops_Merchant	Klops_Merchant	Fuchsia	Tools
Klops_Miner	Klops_Miner	Fuchsia	HumanoidsConstructs
Kweebec_Elder	Kweebec_Elder	Fuchsia	HumanoidsConstructs
Kweebec_Merchant	Kweebec_Merchant	Fuchsia	HumanoidsConstructs
Kweebec_Razorleaf	Kweebec_Razorleaf	Fuchsia	HumanoidsConstructs
Kweebec_Rootling	Kweebec_Rootling	Fuchsia	HumanoidsConstructs
Kweebec_Sapling	Kweebec_Sapling	Fuchsia	HumanoidsConstructs
Kweebec_Sapling_Orange	Kweebec_Sapling_Orange	Fuchsia	HumanoidsConstructs
Kweebec_Sapling_Pink	Kweebec_Sapling_Pink	Fuchsia	HumanoidsConstructs
Kweebec_Seedling	Kweebec_Seedling	Fuchsia	HumanoidsConstructs
Kweebec_Sproutling	Kweebec_Sproutling	Fuchsia	HumanoidsConstructs
Lamb	Sheep_Lamb	Brown	Mammals
Larva_Silk	Larva_Silk	Red	BeastsCreatures
Larva_Void	Larva_Void	Red	BeastsCreatures
Leopard_Snow	Leopard_Snow	Brown	Mammals
Lizard_Sand	Lizard_Sand	Green	ReptilesAmphibians
Lobster	Lobster	LightBlue	Aquatic
Meerkat	Meerkat	Brown	Mammals
Minnow	Minnow	LightBlue	Aquatic
Molerat	Molerat	Red	BeastsCreatures
Moose_Bull	Moose_Bull	Brown	Mammals
Moose_Cow	Moose_Cow	Brown	Mammals
Mosshorn	Mosshorn	Red	BeastsCreatures
Mosshorn_Plain	Mosshorn_Plain	Red	BeastsCreatures
Mouflon	Mouflon	Brown	Mammals
Mouflon_Lamb	Mouflon_Lamb	Brown	Mammals
Mouse	Mouse	Brown	Mammals
Outlander_Berserker	Outlander_Berserker	Fuchsia	HumanoidsConstructs
Outlander_Brute	Outlander_Brute	Fuchsia	HumanoidsConstructs
Outlander_Cultist	Outlander_Cultist	Fuchsia	HumanoidsConstructs
Outlander_Hunter	Outlander_Hunter	Fuchsia	HumanoidsConstructs
Outlander_Marauder	Outlander_Marauder	Fuchsia	HumanoidsConstructs
Outlander_Peon	Outlander_Peon	Fuchsia	HumanoidsConstructs
Outlander_Priest	Outlander_Priest	Fuchsia	HumanoidsConstructs
Outlander_Sorcerer	Outlander_Sorcerer	Fuchsia	HumanoidsConstructs
Outlander_Stalker	Outlander_Stalker	Fuchsia	HumanoidsConstructs
Owl_Brown	Owl_Brown	Yellow	Birds
Owl_Snow	Owl_Snow	Yellow	Birds
Parrot	Parrot	Yellow	Birds
Penguin	Penguin	Yellow	Birds
Pig	Pig	Brown	Mammals
Pig_Undead	Pig_Undead	Purple	UndeadSpirits
Pig_Wild	Pig_Wild	Brown	Mammals
Pigeon	Pigeon	Yellow	Birds
Piglet	Pig_Piglet	Brown	Mammals
Piglet_Wild	Pig_Wild_Piglet	Brown	Mammals
Pike	Pike	LightBlue	Aquatic
Piranha	Piranha	Blue	Aquatic
Piranha_Black	Piranha_Black	Blue	Aquatic
Pterodactyl	Pterodactyl	Yellow	Birds
Pufferfish	Pufferfish	LightBlue	Aquatic
Rabbit	Rabbit	Brown	Mammals
Ram	Ram	Brown	Mammals
Ram_Lamb	Ram_Lamb	Brown	Mammals
Raptor_Cave	Raptor_Cave	Red	BeastsCreatures
Rat	Rat	Brown	Mammals
Raven	Raven	Yellow	Birds
Rex_Cave	Rex_Cave	Red	BeastsCreatures
Salmon	Salmon	LightBlue	Aquatic
Scarak_Broodmother	Scarak_Broodmother	Fuchsia	HumanoidsConstructs
Scarak_Defender	Scarak_Defender	Fuchsia	HumanoidsConstructs
Scarak_Fighter	Scarak_Fighter	Fuchsia	HumanoidsConstructs
Scarak_Fighter_Royal_Guard	Scarak_Fighter_Royal_Guard	Fuchsia	HumanoidsConstructs
Scarak_Louse	Scarak_Louse	Fuchsia	HumanoidsConstructs
Scarak_Seeker	Scarak_Seeker	Fuchsia	HumanoidsConstructs
Scorpion	Scorpion	Green	ReptilesAmphibians
Shadow_Knight	Shadow_Knight	Purple	UndeadSpirits
Shark_Hammerhead	Shark_Hammerhead	Blue	Aquatic
Sheep	Sheep	Brown	Mammals
Shellfish_Lava	Shellfish_Lava	Blue	Aquatic
Skeleton	Skeleton	Purple	UndeadSpirits
Skeleton_Archer	Skeleton_Archer	Purple	UndeadSpirits
Skeleton_Archmage	Skeleton_Archmage	Purple	UndeadSpirits
Skeleton_Burnt_Alchemist	Skeleton_Burnt_Alchemist	Purple	UndeadSpirits
Skeleton_Burnt_Archer	Skeleton_Burnt_Archer	Purple	UndeadSpirits
Skeleton_Burnt_Gunner	Skeleton_Burnt_Gunner	Purple	UndeadSpirits
Skeleton_Burnt_Knight	Skeleton_Burnt_Knight	Purple	UndeadSpirits
Skeleton_Burnt_Lancer	Skeleton_Burnt_Lancer	Purple	UndeadSpirits
Skeleton_Burnt_Praetorian	Skeleton_Burnt_Praetorian	Purple	UndeadSpirits
Skeleton_Burnt_Soldier	Skeleton_Burnt_Soldier	Purple	UndeadSpirits
Skeleton_Burnt_Wizard	Skeleton_Burnt_Wizard	Purple	UndeadSpirits
Skeleton_Fighter	Skeleton_Fighter	Purple	UndeadSpirits
Skeleton_Frost_Archer	Skeleton_Frost_Archer	Purple	UndeadSpirits
Skeleton_Frost_Archmage	Skeleton_Frost_Archmage	Purple	UndeadSpirits
Skeleton_Frost_Fighter	Skeleton_Frost_Fighter	Purple	UndeadSpirits
Skeleton_Frost_Knight	Skeleton_Frost_Knight	Purple	UndeadSpirits
Skeleton_Frost_Mage	Skeleton_Frost_Mage	Purple	UndeadSpirits
Skeleton_Frost_Ranger	Skeleton_Frost_Ranger	Purple	UndeadSpirits
Skeleton_Frost_Scout	Skeleton_Frost_Scout	Purple	UndeadSpirits
Skeleton_Frost_Soldier	Skeleton_Frost_Soldier	Purple	UndeadSpirits
Skeleton_Incandescent_Fighter	Skeleton_Incandescent_Fighter	Purple	UndeadSpirits
Skeleton_Incandescent_Footman	Skeleton_Incandescent_Footman	Purple	UndeadSpirits
Skeleton_Incandescent_Head	Skeleton_Incandescent_Head	Purple	UndeadSpirits
Skeleton_Incandescent_Mage	Skeleton_Incandescent_Mage	Purple	UndeadSpirits
Skeleton_Knight	Skeleton_Knight	Purple	UndeadSpirits
Skeleton_Mage	Skeleton_Mage	Purple	UndeadSpirits
Skeleton_Pirate_Captain	Skeleton_Pirate_Captain	Purple	UndeadSpirits
Skeleton_Pirate_Gunner	Skeleton_Pirate_Gunner	Purple	UndeadSpirits
Skeleton_Pirate_Striker	Skeleton_Pirate_Striker	Purple	UndeadSpirits
Skeleton_Ranger	Skeleton_Ranger	Purple	UndeadSpirits
Skeleton_Sand_Archer	Skeleton_Sand_Archer	Purple	UndeadSpirits
Skeleton_Sand_Archmage	Skeleton_Sand_Archmage	Purple	UndeadSpirits
Skeleton_Sand_Assassin	Skeleton_Sand_Assassin	Purple	UndeadSpirits
Skeleton_Sand_Guard	Skeleton_Sand_Guard	Purple	UndeadSpirits
Skeleton_Sand_Mage	Skeleton_Sand_Mage	Purple	UndeadSpirits
Skeleton_Sand_Ranger	Skeleton_Sand_Ranger	Purple	UndeadSpirits
Skeleton_Sand_Scout	Skeleton_Sand_Scout	Purple	UndeadSpirits
Skeleton_Sand_Soldier	Skeleton_Sand_Soldier	Purple	UndeadSpirits
Skeleton_Scout	Skeleton_Scout	Purple	UndeadSpirits
Skeleton_Soldier	Skeleton_Soldier	Purple	UndeadSpirits
Skrill	Skrill	Yellow	Birds
Skrill_Chick	Skrill_Chick	Yellow	Birds
Slug_Magma	Slug_Magma	Red	BeastsCreatures
Snail_Frost	Snail_Frost	Red	BeastsCreatures
Snail_Magma	Snail_Magma	Red	BeastsCreatures
Snake_Cobra	Snake_Cobra	Green	ReptilesAmphibians
Snake_Marsh	Snake_Marsh	Green	ReptilesAmphibians
Snake_Rattle	Snake_Rattle	Green	ReptilesAmphibians
Snapdragon	Snapdragon	Red	BeastsCreatures
Snapjaw	Snapjaw	Red	BeastsCreatures
Spark_Living	Spark_Living	Red	BeastsCreatures
Sparrow	Sparrow	Yellow	Birds
Spectre_Void	Spectre_Void	Purple	UndeadSpirits
Spider	Spider	Green	ReptilesAmphibians
Spider_Cave	Spider_Cave	Green	ReptilesAmphibians
Spirit_Ember	Spirit_Ember	Purple	UndeadSpirits
Spirit_Frost	Spirit_Frost	Purple	UndeadSpirits
Spirit_Root	Spirit_Root	Purple	UndeadSpirits
Spirit_Thunder	Spirit_Thunder	Purple	UndeadSpirits
Squirrel	Squirrel	Brown	Mammals
Tang_Blue	Tang_Blue	LightBlue	Aquatic
Tang_Chevron	Tang_Chevron	LightBlue	Aquatic
Tang_Lemon_Peel	Tang_Lemon_Peel	LightBlue	Aquatic
Tang_Sailfin	Tang_Sailfin	LightBlue	Aquatic
Temple_Mithril_Guard	Temple_Mithril_Guard	Fuchsia	Tools
Tetrabird	Tetrabird	Yellow	Birds
Tiger_Sabertooth	Tiger_Sabertooth	Brown	Mammals
Toad_Rhino	Toad_Rhino	Red	BeastsCreatures
Toad_Rhino_Magma	Toad_Rhino_Magma	Red	BeastsCreatures
Tortoise	Tortoise	Green	ReptilesAmphibians
Trillodon	Trillodon	Red	BeastsCreatures
Trilobite	Trilobite	LightBlue	Aquatic
Trilobite_Black	Trilobite_Black	LightBlue	Aquatic
Trork_Brawler	Trork_Brawler	Fuchsia	HumanoidsConstructs
Trork_Chieftain	Trork_Chieftain	Fuchsia	HumanoidsConstructs
Trork_Doctor_Witch	Trork_Doctor_Witch	Fuchsia	HumanoidsConstructs
Trork_Guard	Trork_Guard	Fuchsia	HumanoidsConstructs
Trork_Hunter	Trork_Hunter	Fuchsia	HumanoidsConstructs
Trork_Mauler	Trork_Mauler	Fuchsia	HumanoidsConstructs
Trork_Sentry	Trork_Sentry	Fuchsia	HumanoidsConstructs
Trork_Shaman	Trork_Shaman	Fuchsia	HumanoidsConstructs
Trork_Unarmed	Trork_Unarmed	Fuchsia	HumanoidsConstructs
Trork_Warrior	Trork_Warrior	Fuchsia	HumanoidsConstructs
Trout_Rainbow	Trout_Rainbow	LightBlue	Aquatic
Tuluk_Fisherman	Tuluk_Fisherman	Fuchsia	Tools
Turkey	Turkey	Yellow	Birds
Turkey_Chick	Turkey_Chick	Yellow	Birds
Vulture	Vulture	Yellow	Birds
Warthog	Warthog	Brown	Mammals
Warthog_Piglet	Warthog_Piglet	Brown	Mammals
Werewolf	Werewolf	Red	BeastsCreatures
Whale_Humpback	Whale_Humpback	Blue	Aquatic
Wolf_Black	Wolf_Black	Brown	Mammals
Wolf_Outlander_Priest	Wolf_Outlander_Priest	Red	BeastsCreatures
Wolf_Outlander_Sorcerer	Wolf_Outlander_Sorcerer	Red	BeastsCreatures
Wolf_Trork_Hunter	Wolf_Trork_Hunter	Red	BeastsCreatures
Wolf_Trork_Shaman	Wolf_Trork_Shaman	Red	BeastsCreatures
Wolf_White	Wolf_White	Brown	Mammals
Woodpecker	Woodpecker	Yellow	Birds
Wraith	Wraith	Purple	UndeadSpirits
Wraith_Lantern	Wraith_Lantern	Purple	UndeadSpirits
Yeti	Yeti	Red	BeastsCreatures
Zombie	Zombie	Purple	UndeadSpirits
Zombie_Aberrant	Zombie_Aberrant	Purple	UndeadSpirits
Zombie_Aberrant_Big	Zombie_Aberrant_Big	Purple	UndeadSpirits
Zombie_Aberrant_Small	Zombie_Aberrant_Small	Purple	UndeadSpirits
Zombie_Burnt	Zombie_Burnt	Purple	UndeadSpirits
Zombie_Frost	Zombie_Frost	Purple	UndeadSpirits
Zombie_Sand	Zombie_Sand	Purple	UndeadSpirits
